tick,10P_x,10P_y,5P_x,5P_y,10PB_x,10PB_y,5PB_x,5PB_y,10B_x,10B_y,5B_x,5B_y,10BG_x,10BG_y,5GB_x,5GB_y,10G_x,10G_y,5G_x,5G_y,10GY_x,10GY_y,5GY_x,5GY_y,10Y_x,10Y_y,5Y_x,5Y_y,10YR_x,10YR_y,5YR_x,5YR_y,10R_x,10R_y,5R_x,5R_y,10RP_x,10RP_y,5RP_x,5RP_y
0,14,293,74,252,145,151,412,409,288,127,8,156,132,359,323,295,479,188,411,175,355,256,4,458,365,366,371,51,293,463,469,82,376,203,444,320,239,440,112,149
1,14.809114234072949,292.4123486099561,74.2467563972098,251.03092245901783,144.35886045774024,151.7674243202759,411.47739537090683,408.14742484105483,288.25629726193915,127.9665980103034,8.685268258830256,156.7282907478746,131.3606673769117,359.76893029401566,323.82726372088484,295.56181379131147,478.03997074081775,188.2798996632973,411.3880131981705,174.07834618318725,355.79859802399136,256.6018647656053,4.903100146749685,457.5705699999526,364.3283601078698,365.2591222399752,371.44206446341315,51.89698328311471,293.01164008961587,462.00006774813806,468.17162478628654,82.56017363853111,376,203,443.1072180279536,319.54951098749365,239.79678893339405,439.3957422771526,111.82477706557133,149.98452878233712
2,15.621128757414166,291.82871138197714,74.5016691449707,250.06395840020852,143.72369571309216,152.53980100762226,410.95733688258906,407.29329419020064,288.50976291485483,128.93394239716469,9.368794590881249,157.45821660259747,130.7202623209324,360.5369676396416,324.6562780265242,296.1210411878554,477.0796903105732,188.55893639078903,411.77370850068905,173.15571996763995,356.6073179263465,257.19005871281547,5.805322795165715,457.13929944370614,363.6574775458563,364.5175586297662,371.8811219577514,52.795442250828536,293.02266927326417,461.0001285714338,467.34437530014947,83.1220083897578,376,203,442.2167785625838,319.0944092862092,240.5894984099124,438.7861426660651,111.65721816924335,150.970390849901
3,16.436109163197557,291.24922286769134,74.76537906943823,249.09935637048986,143.0947428436557,153.31724443837953,410.4399353154592,406.437551461145,288.7604237816677,129.90201735802702,10.050558592957525,158.1897887763937,130.07882654375908,361.3041443753173,325.487255220193,296.67734767137176,476.1191397981282,188.8370419697364,412.1572789396121,172.2322083443323,357.4267299477677,257.7632636841394,6.706662339437069,456.70618626458,362.9873897570522,363.7752767727229,372.31711753715007,53.695391057564144,293.03303691863414,460.0001823169133,466.5182539138042,83.68550058581995,376,203,441.328849919876,318.6344280632673,241.3779878719668,438.171094401106,111.4975428816228,151.95756044147242
4,17.254123176184162,290.67402457618005,75.03860995316641,248.13740788736973,142.47225431716726,154.09987336347126,409.9253105488318,405.5801359553523,289.0083168463349,130.8708047591063,10.730539720109137,158.92301839030574,129.43641495151468,362.0705041773359,326.32043294555757,297.23035298595414,475.1582976420871,189.11413825476092,412.53899156518344,171.3079272877919,358.25743737402354,258.3199729188063,7.6071134490673185,456.27122902626155,362.3181425037088,363.03223699324116,372.7499947735391,54.59684393942553,293.04269116189414,459.0002289202057,465.6932626587426,84.25064607953979,376,203,440.44361648304084,318.1692810302669,242.16211119149946,437.55048935780945,111.34598127665231,152.9460082549147
5,18.075240760838135,290.1032655095223,75.32218404794361,247.17845755874404,141.8564995252124,154.88781120123807,409.4135926403518,404.720982428827,289.25349054943246,131.84028392613848,11.408717333616872,159.657916427136,128.79310139141595,362.8361069878017,327.15607787281414,297.77962300657276,474.1971392365214,189.39013557252045,412.53899156518344,171.3079272877919,359.0931669724288,258.8691141013353,8.506671133935164,455.8344270441287,361.64969475374977,362.2884778887089,373.1783988316887,55.50043121410405,293.0515787723592,458.0002684157955,464.8702130602137,84.81861558432101,376,203,439.56126897949866,317.69868259955035,242.94171644920772,436.92421813688867,111.20277477693502,153.93570108526092
6,18.899534264921925,289.5371027951678,75.61704139993101,246.22291627654897,141.24776654440333,155.6811863697903,408.90488946542877,403.86004045643676,289.4929827421431,132.81118221619292,12.085070763478116,160.39449367217887,128.14898799967287,363.601037009815,327.9944335173593,298.324746674431,473.2365974425248,189.66827126240165,412.53899156518344,171.3079272877919,359.9344088522938,259.4097730507305,9.405330827279482,455.39578054002965,360.9819999770651,361.5440427436573,373.60227300984866,56.40615229760008,293.0596450872118,457.00030094904236,464.0491212251048,85.38941169355574,376,203,438.6820167577648,317.22232608329796,243.71664579433443,436.2921702668175,111.06816187718965,154.92659934806196
7,19.72707859403895,288.9757024181228,75.92426408452572,245.27127862383108,140.64635721729076,156.4801274322361,408.3993180059331,402.9972557212082,289.72679191481797,133.78346472183267,12.759579367056876,161.1327606589108,127.5042211316976,364.3654162912986,328.8357720286036,298.8652552400405,472.27667969920765,189.94855313135673,412.53899156518344,171.3079272877919,360.7817079171847,259.9408891346849,10.30308849423519,454.9552908450058,360.3150060020201,360.79897963407956,374.02155994199717,57.314006068055164,293.0668343019568,456.0003267917806,463.2300030853799,85.96303654759687,376,203,437.80608997184504,316.73988202881264,244.48673529780484,435.65423441060256,110.94239326369487,155.9186589510393
8,20.55795149548873,288.419240180737,76.24510716118421,244.32414625707324,140.0525954389997,157.28476831526444,407.89700552266333,402.13256955319616,289.9549250662477,134.75709466447964,13.432222631753392,161.8727275760486,127.5042211316976,364.3654162912986,329.6803983304098,299.40061157959127,471.3173921941006,190.23098450805813,412.53899156518344,171.3079272877919,361.6356729884208,260.4612194692885,11.1996963670464,454.5124654590883,359.6486551731357,360.05334126808367,374.43620161059107,58.22399084082098,293.074925120516,455.00035952298873,462.4128743783033,86.5394918156544,376,203,436.93374204506074,316.2509964648663,245.25186362912112,435.0103565987336,110.82573298936128,156.91183082961442
9,21.391932738290148,287.8674473875117,76.58205200147238,243.38262186832742,139.46683161071834,158.09525010869177,407.3980995362204,401.2659134410667,290.1773985733863,135.73203340030946,14.104638207745579,162.61290140236449,127.5042211316976,364.3654162912986,330.52865492493567,299.9301970305275,470.35873949000785,190.51556313152744,412.53899156518344,171.3079272877919,362.4969876480551,260.9692913707937,12.095154239728242,454.0673191929553,358.9828988132043,359.30717207198205,374.8461393615802,59.13610434270217,293.0838995022654,454.0003997935635,461.5977506246104,87.11877867565175,376,203,436.0652525276774,315.75528893194473,246.01190804643292,434.36048547019107,110.71847175819346,157.90606170234386
10,22.229071312654455,287.32045652167267,76.93665984744638,242.44760674782205,138.8894461365864,158.91172179482757,406.90276159886014,400.3972130739598,290.39423914541203,136.70824043077153,14.776830542398741,163.35327797224872,127.5042211316976,364.3654162912986,331.38092741056977,300.4532951190645,469.40072404431083,190.80227972645352,412.53899156518344,171.3079272877919,363.36642314425774,261.4633378442584,12.98946287163178,453.6198685577979,358.31768699673773,358.56051737318666,375.25131392186796,60.050343685377605,293.09373972606056,453.0004482097377,460.78464710404745,87.70089779133873,376,203,435.2009302415881,315.252350580087,246.7667420167216,433.7045695630061,110.62091639957461,158.90129180237338
11,23.069418355111917,286.77840777088267,77.31072741190913,241.5202052936411,138.320850691733,159.73433909351021,406.4111693242857,399.5263875830727,290.6054848506232,137.6856734218404,15.44880477740389,164.09385249752572,127.5042211316976,364.3654162912986,332.23765073843947,300.96907136850206,468.4433455824196,191.09111615197284,412.53899156518344,171.3079272877919,364.24485311806524,261.941208936831,13.882624171781213,453.1701320883901,357.6529718132667,357.81342050874196,375.6516654193496,60.96670533803673,293.1044286860574,452.00050533830245,459.9735788274495,88.28584928564953,376,203,434.3411168061589,314.7417422602807,247.51623511363292,433.0425574047474,110.5333913447611,159.89745412086364
12,23.91302760048858,286.24145019237665,77.70633458398659,240.60178547384143,137.76149230892764,160.56326502481252,405.92351883309186,398.6533486386731,290.81118623193856,138.66428822947665,16.120566866905797,164.83461946162984,127.5042211316976,364.3654162912986,333.0993162624795,301.47654799326506,467.4866002700101,191.38204295923268,412.53899156518344,171.3079272877919,365.1332697776796,262.4002468861551,14.774641433267105,452.71813075519384,356.98871295977875,357.06591788295196,376.0471334056541,61.885185099277166,293.1159502740106,451.0005717139998,459.1645605041816,88.87363270887346,376,203,433.48619057119663,314.22299267447534,248.26025292345662,432.37439761946763,110.45624029593921,160.89447353675567
13,24.75995597561587,285.7097431984371,78.125903694374,239.6940620789635,137.21185825119676,161.39867055662464,405.44002773076664,397.77799936325647,291.0114075040755,139.64403893357635,16.792123713678915,165.57557249762615,127.5042211316976,364.3654162912986,333.9664795487179,301.97457192341307,466.5304796011513,191.67501610916452,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,15.665519635296489,452.26388849697815,356.3248870838786,356.31803072135244,376.4376568816339,62.80577806835126,293.1282898780003,450.00064784981146,458.3576065032234,89.46424699953826,376,203,432.6365709706168,313.69559668064284,248.99865696310707,431.7000390544387,110.38982810975148,161.89226581049093
